Company Name,Job Title,Job Link,Date Posted,Found On,Description,Salary Range,Location,Team/Department
Cisco,"1418917 - Chief Technology Officer, CX Americas",https://jobs.cisco.com/jobs/ProjectDetail/1418917-Chief-Technology-Officer-CX-Americas/1418917,,08/03/2024-20:17:29,"Customer Experience (CX) is one of Cisco’s fastest growing teams and its purpose is to transform the way Cisco delivers value to our customers and partners. CX Americas is hiring a CTO to lead our Customer Experience Technology Group.
The CX Technology Group drives innovation across CX Americas working with our customers and partners. They collaborate with CX Product Management (CXPM) to scale innovative solutions bringing customer and field perspectives to the Business Engineering org (BE) while strengthening the linkages between these partners and the field. This team leads in supporting and upskilling our technical talent by partnering with CXPM and all collaborators across the ecosystem.
What You'll Do
As the CX Technology Group leader, you connect constantly evolving technology environments with the executive agenda of our customers by applying strong business insights. You will lead interlock with CXPM to help drive innovation across CX Americas. As a technologist, you will be across Cisco's solutions as well as the market trends and driven offerings. You will partner closely with the CX Americas theaters to deliver strategic technology support to the field. You will engage with CX Americas leadership on top accounts to increase CX bookings through senior technical engagement and innovative architectures, while developing and empowering our technical talent.
Serve as a key advocate to drive technology across CX Americas
Build trust and effective relationships with collaborators across CX, the field, engineering and sales
Demonstrate Thought Leadership via internal/external events and publications
Engage with Top accounts to drive Services bookings through innovative Architectures
The ideal candidate demonstrates a strong aptitude for driving business growth and a passion for technology and delivery excellence.
Who You Will Work With
You will report to the SVP of CX Americas and lead a large team consisting of Principal Architects. You will also form strong interlocks and work closely with:
Regional Functions such as Sales, CX Theaters (Delivery, Success & Solution Delivery Architects) and CX Renewals. Global Functions such as BE, CXPM, CX Centers and Sales Architectures.
Incumbent will parter with PSS Leaders & teams to drive sales and growth strategy and will assist Business Development Managers through niche deal support. CTO will also provide CX Theater leadership and will work with both Product Management in feedback loop and the Renewals Team driving towards expansion support. You will developer Senior Technical talent in strategic areas and act as a Talent Magnet for bringing in diverse technical talent. Additionally, will drive alignment prioritization across CX Americas in technical initiatives for CXPM/Sales/BU, ET&I.
Required Skills:
20+ years' technology depth and expertise
10+ years' team leadership experience
Preferred Skills:
Leadership experience in Customer Experience, Service Delivery / Success
Critical thinking with the ability to act as a trusted adviser and business partner to Sales leaders
Track record of leading business growth, sophisticated problem solving and validated execution on programs and initiatives
Previous experience in Sales, Product Management and Transformation Practices
Practical experience of ITIL / Service Management processes
Experience with Agile frameworks and implementation
Excellent executive verbal and written communication skills, and confident addressing Executive level audiences internally and externally.
Ability to influence and articulate business requirements through presentations
Financial Savvy
Expertise in Change Management
Why Cisco
We connect everything: people, processes, data, and things. We embrace digital, and help our customers implement change in their digital businesses. Some may think we’re “old” (36 years strong) and only about hardware, but we’re also a software company. And a security company. We even invented an intuitive network that adapts, predicts, learns and protects. No other company can do what we do – you can’t put us in a box!
We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.",206300 USD - 271100 USD,"RTP, North Carolina, US",Customer Experience
Cisco,Director - Physical Design,https://jobs.cisco.com/jobs/ProjectDetail/Director-Physical-Design/1418857,,08/03/2024-20:17:33,"Who We Are

The Common Hardware Group (CHG) delivers the silicon, optics, and hardware platforms for Cisco's core Switching, Routing, and Wireless products. With ~2,100 employees across 16 countries, we design the networking hardware for Enterprises and Service Providers of various sizes, the Public Sector, and Non-Profit Organizations across the world. Cisco Silicon One is the only unifying silicon architecture in the market that enables customers to deploy the best-of-breed silicon from Top of Rack (TOR) switches all the way through web scale data centers and across service provider, enterprise networks, and data centers with a fully unified routing and switching portfolio. Come join us and take part in shaping Cisco's revolutionary solutions by designing, developing and testing some of the most complex ASICs being developed in the industry.

What You Will Do

Closely work with Team Leads to Build PD Execution Schedule and Track Milestones through the Project. 
As a Soc Physical Design Lead, you will work closely with Architecture/Package/PD Teams to develop, craft, and optimize floor-plans during early chip development to meet Power/Performance/Area Goals for the SoC.
Drive the review process and collaborate with the ASIC design team to identify area, interconnect and floorplan improvement opportunities.
Build tools and improve existing infrastructure to optimize chip area and speed of execution.
Interact with Design team to review constraints.

Your responsibilities will Include

Collaborate with Cross Functional Teams across geographies.
Drive SoC Physical Design Implementation in Advanced Process Nodes with world class team of Physical Design, Circuit design, DFT and integration engineers.
Build a team of hard-working and passionate leaders as we scale.
Develop Soc Execution Schedule and Milestone Tracking.
Communicate Status and Risks to Senior Management.
Expert understanding of both FE and BE ASIC flows.
Maintain close interactions with RTL, NPI, Packaging, DFT, Architecture teams.
Own power, performance and area optimization of design.
Oversee the development of new automation utilities for improved quality, time to delivery and high-quality Designs.
Conduct periodic design reviews - with deep technical dives - to make sure the project is tracking to the schedule and maintaining a high quality of work.
EMIR analysis and Timing signoff closure.

Minimum Qualifications

Demonstrable management experience in leading a team that does SoC and Physical Design.
Drive ASIC design methodology and flow from concept to release.
Previous demonstrated experience at leading and managing large ASIC developments in advanced process nodes.
Demonstrable hands-on experience in ASIC design. 
 Preferred Qualifications
Knowledge of industry standard PnR and signoff tools and their capabilities.
Understands the big picture and attention to detail during execution.
Prior Experience in developing Physical Design execution Schedule.
Knowledge and hands on experience in block level synthesis, place and route, timing closure. 
Understanding advanced power analysis and power integrity analysis.
Knowledge of scripting languages Tcl, Python.
Manage Static Timing Analysis, timing closure and design constraints.
Self-motivated, able to work in a highly cross functional team.
MS or Bachelor’s in Electrical Engineering or Computer Science.
 Why Cisco?

#WeAreCisco, we are all unique, but collectively we bring our talents to work as a team, to develop innovative technology and power a more inclusive, digital future for everyone. How do we do it? Well, for starters - with people like you!

Nearly every internet connection around the world touches Cisco. We’re the Internet’s optimists. Our technology makes sure the data travels at light speed across connections does so securely, yet it’s not what we make but what we make happen which marks us out. We’re helping those who work in the health service to connect with patients and each other; schools, colleges, and universities to teach in even the most complicated times. We’re helping businesses of all shapes and sizes to connect with their employees and customers in new ways, providing people with access to the digital skills they need and connecting the most remote parts of the world - whether through 5G, or otherwise.

We take on challenges that come our way. We have each other’s backs and recognize our accomplishments as we grow together. We celebrate and support one another - from big and small things in life to big career moments. And giving back is central to our purpose (we get 10 days off each year to do just that).

We know that powering an inclusive future starts with us. Because without diversity and a dedication to equality, there is no moving forward. Our 30 Inclusive Communities, that bring people together around commonalities or passions, are leading the way. Together we’re committed to learning, listening, caring for our communities, whilst supporting the most vulnerable with a collective effort to make this world a better place either with technology, or through our actions. 

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. A passion for technology and world changing? Be you, with us!

#WeAreCisco

#LI-SR6",211600 USD - 314200 USD,"San Jose, California, US",Engineer - Hardware
Cisco,"Director, ML Engineering - Outshift",https://jobs.cisco.com/jobs/ProjectDetail/Director-ML-Engineering-Outshift/1418675,,08/03/2024-20:17:36,"Who We Are

Outshift by Cisco is the emerging tech incubation group that explores, identifies, and creates new businesses for Cisco. We are passionate about being at the forefront of technology, taking Cisco into new markets and building exciting products that solve tomorrow’s biggest challenges. Like a startup, we take an ambitious approach to success. Outshift is about innovation. We look from 12 months out to five years into the future, flexibly working to solve problems instead of fitting into a defined job description. We celebrate learning, and expect our teams to experiment, make ambitious assumptions, find new ways of solving problems. We’re building the next wave of startup like innovation with the support of a trusted name like Cisco. Where else will you get to do this? Come create with us. Learn more about us at outshift.com

What You'll Do

In this role you'll be a key leader in building and leading an AI/ML engineering organization. You will be responsible for the delivery of new AI/ML products at scale for new markets, drive growth. As a founding senior leader, you will work across various Cisco teams to create new AI/ML products and services that make tangible business impacts and contribute to shaping Cisco’s AI strategy for the next decade.

Your Responsibilities will Include
Build and lead an AI/ML engineering organization.
Formulate, guide and contribute to AI/ML organization’s technical strategy. 
Own end to end delivery of new AI/ML products at scale for new persona and markets to drive business growth.
Evaluate, perform due diligence, and standardize AI platform for application development.
Stay updated on emerging technologies and trends in data science and architecture, making informed decisions on technology adoption and investment.
Collaborate with cross-functional teams, including strategy, marketing, product management, engineering, and sales, to align data initiatives with business objectives.
Provide leadership and direction of AI/ML engineering products and services through leaders, senior leaders, and/or high-level individual contributors. 
Minimum Qualifications
Demonstrable experience in AI and Machine Learning, Automation, Technology Modernization, Generative AI and Cloud development.
4+ years of experience in a management role leading a team of software engineers, ML engineers and architects.
Bachelor’s degree and 15+ years of Engineering exp or Master’s degree and 12+ years of Engineering exp or PhD and 8+ years of Engineering experience.
Preferred Qualifications
Demonstrable leadership skills and ability to build and lead software engineering and AI/ML teams.
Demonstrable experience in building applied AI/ML products. 
10+ years of experience in a management role leading hard-working engineering teams.
Extraordinarily resourceful & thorough, you can operate successfully among forward-thinking people.
Equally comfortable and capable interacting with technologists as with business executives.
Why Cisco?

#WeAreCisco, we are all unique, but collectively we bring our talents to work as a team, to develop innovative technology and power a more inclusive, digital future for everyone. How do we do it? Well, for starters - with people like you!

Nearly every internet connection around the world touches Cisco. We’re the Internet’s optimists. Our technology makes sure the data travels at light speed across connections does so securely, yet it’s not what we make but what we make happen which marks us out. We’re helping those who work in the health service to connect with patients and each other; schools, colleges, and universities to teach in even the most complicated times. We’re helping businesses of all shapes and sizes to connect with their employees and customers in new ways, providing people with access to the digital skills they need and connecting the most remote parts of the world - whether through 5G, or otherwise.

We take on challenges that come our way. We have each other’s backs and recognize our accomplishments as we grow together. We celebrate and support one another - from big and small things in life to big career moments. And giving back is central to our purpose (we get 10 days off each year to do just that).

We know that powering an inclusive future starts with us. Because without diversity and a dedication to equality, there is no moving forward. Our 30 Inclusive Communities, that bring people together around commonalities or passions, are leading the way. Together we’re committed to learning, listening, caring for our communities, whilst supporting the most vulnerable with a collective effort to make this world a better place either with technology, or through our actions.

So, you have colorful hair? Don’t care. Tattoos? Show off your ink. Like polka dots? That’s cool. Pop culture geek? Many of us are. A passion for technology and world changing? Be you, with us!

#WeAreCisco

#LI-SR6",224100 USD - 330000 USD,"Offsite, San Jose, California, US",Engineer - Software
Nvidia,"Director, Product Marketing-DGX Cloud",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Director--Product-Marketing-DGX-Cloud_JR1979244?locationHierarchy1=2fcb99c455831013ea52fb338f2932d8,,08/03/2024-20:19:35,,,,
Nvidia,"Director, Program Management, DGX Cloud",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Director--Program-Management--DGX-Cloud_JR1979871?locationHierarchy1=2fcb99c455831013ea52fb338f2932d8,,08/03/2024-20:19:38,,,,
Nvidia,"Director, Solutions Architect - NCP Operations",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-MO-St-Louis/Director--Solutions-Architect---NCP-Operations_JR1980611?locationHierarchy1=2fcb99c455831013ea52fb338f2932d8,,08/03/2024-20:19:41,,,,
Nvidia,"Director, Technical Product Marketing - DGX Cloud",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Director--Technical-Product-Marketing---DGX-Cloud_JR1979873?locationHierarchy1=2fcb99c455831013ea52fb338f2932d8,7/3/2024,08/03/2024-20:19:43,"NVIDIA is seeking an experienced and driven Director of Technical Marketing for DGX Cloud to build a team to drive the adoption of DGX cloud through world class technical testing, tool development and content. This leader will work across technical and business owners to drive growth in our cloud services.
What you will be doing:
Defining a cohesive vision for how we deliver technical insight DGX Cloud products and services
Working with product and sales teams to build out the leading customer use cases and creating a plan to support those with creative technical content
Building a team with broad expertise in AI, cloud services, data best practices, hybrid operations and secure enterprise standards
Representing our product status, priorities, and roadmap to both internal & external (partner/customer) executives.
Developing the overall TME yearly plan & top-level metrics to measure content effectiveness, customer adoption and sales KPIs.
Clarifying roles & responsibilities and establishing processes & standards to ensure productivity, efficiency, and high-quality delivery of products.
What we need to see:
Bachelor of Science in Electrical Engineering, Computer Science, or related technical field (or equivalent experience).
Over 15 overall years of proven experience, with 10+ years in technical product roles and 5+ years leading Cloud-focused product teams.
Expertise in developing strategies for simplifying sophisticated technical solutions into customer-centric journeys.
Strong leadership and interpersonal skills, capable of influencing and aligning across executives and large organizations.
Leads by example with robust individual contributor capabilities.
Adept at balancing near-term needs with a strategic business vision.
Flexible in adjusting and adapting to changing priorities.
Ways to stand out from the crowd:
Background in using cloud services to deliver enterprise applications
Direct and current working knowledge of how top CSPs deliver services either as a consumer of those services or a partner building services with them
Experience working with external partners in the MLops, SaaS or AI services space.
Experience in using and integrating AI products
Background in enterprise security policies and new technology adoption
With competitive salaries and a generous benefits package, we are widely considered to be one of the technology world’s most desirable employers. We have some of the most forward-thinking and hardworking people in the world working for us. Due to outstanding growth, our best-in-class engineering teams are rapidly growing. If you're creative and autonomous, we want to hear from you!
The base salary range is 248,000 USD - 379,500 USD. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
You will also be eligible for equity and benefits. NVIDIA accepts applications on an ongoing basis. 
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.","248,000 USD - 379,500 USD","US, CA, Santa Clara",
Nvidia,"Director of Cloud Operations, DGX Cloud",https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Remote/Director-of-Cloud-Operations--DGX-Cloud_JR1980392?locationHierarchy1=2fcb99c455831013ea52fb338f2932d8,7/3/2024,08/03/2024-20:19:46,"Today, NVIDIA is tapping into the unlimited potential of AI to define the next era of computing. An era in which our GPU acts as the brains of computers, robots, and self-driving cars that can understand the world. Doing what’s never been done before takes vision, innovation, and the world’s best talent. As an NVIDIAN, you’ll be immersed in a diverse, encouraging environment where everyone is inspired to do their best work. Come join the team and see how we can make a lasting impact on the world.
We seek a strong candidate to play a pivotal role in leading all aspects of and optimizing our accelerated AI infrastructure hosted on major cloud platforms including AWS, Azure, GCP, and OCI. You will be responsible for establishing and leading critical functions such as customer success, site-reliability engineering (SRE), and product management of operations. You will be instrumental in improving observability and telemetry stacks to ensure the reliability, performance, and efficiency of our cloud-based systems. This role is ideal for a strategic leader adept in a fast-paced environment, with a deep understanding of cloud technologies, operational excellence, compliance standards, and financial acuity.
What you will be doing:
Accelerate strategic customer deployments and ensure speed-of-light bring up and operations of ground-breaking AI infrastructure on AWS, Azure, GCP, and OCI..
Specify, design, develop, and implement DevOps frameworks and solutions. Including but not limited to, continuous integration/continuous deployment pipelines, cloud deployment/management strategies, and different levels of automation
Establish and lead customer success initiatives to ensure client happiness and drive customer-centric approaches within the cloud operations team.
Develop and maintain positive relationships with key partners and clients to understand their needs and expectations.
Be responsible for the product management aspects of cloud operations, working closely with product engineering and SRE to align with business goals and objectives.
Define and implement a roadmap for continuous improvement in operational processes and tools.
Drive the development and implementation of observability and telemetry stacks to provide comprehensive insights into system performance and behavior.
Ensure monitoring, logging, and alerting mechanisms are in place to identify and address issues proactively.
What we need to see:
Bachelor’s degree in Computer Science, Computer Engineering, or similar field or equivalent experience
15+ overall years of significant leadership experience in operations, and product management, with a majority of that time at a tier 1 Cloud Service Provider. 8+ years people management experience.
Solid understanding of operations and the security landscape
Strong analytical, technical, and project management skills - a drive for results and a history of successful execution on projects
Excellent balance of deep technical and business knowledge
Self-starter, hands-on demeanor in a dynamic environment
Excellent communication and presentation abilities
Passion for building ground-breaking products/technologies
Ways to Stand Out from the crowd:
You bring experience as a leader in the SRE space at a large scale service provider
Validated understanding of the particularities of AI infrastructure and accelerated workloads
Technical competence in deployment of GPUs, DPUs and storage technologies in IaaS scenarios
NVIDIA is widely considered to be one of the technology world’s most desirable employers. We have some of the most forward-thinking and hardworking people in the world working for us. If you're creative and a self-starter, we want to hear from you!
The base salary range is 264,000 USD - 517,500 USD. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
You will also be eligible for equity and benefits. NVIDIA accepts applications on an ongoing basis. 
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.","264,000 USD - 517,500 USD","US, CA, Remote",
Nvidia,Director of SOC IP RTL,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Director-of-SOC-IP-RTL_JR1980653?locationHierarchy1=2fcb99c455831013ea52fb338f2932d8,7/3/2024,08/03/2024-20:19:49,"NVIDIA is hiring a Director of SOC IP RTL development for the next generation custom silicon solutions. We are looking for special individuals with passion and desire to deliver innovative products. Together, we will build the next generation of life changing SoC's. If you are a motivated individual that understands how SoC systems are architected and built, has intimate knowledge of SOC and IP design and understand various development cycles, this is your place to be. 
What you'll be doing:
Lead RTL design teams developing IP and SOC’s from concept through productization silicon in innovative technologies and range of products in cloud, networking, and other applications.
Develop microarchitecture specifications and RTL that bring together ARM CPUs, GPUs, custom accelerators, high speed interfaces, internal and external IP into a single chip or multiple chiplets.
Work with Architects, SOC Leads, and Customers to develop SOC IP design requirements, specifications, RTL development and verification plans, methodology alignment, and program execution to ensure pre-silicon and post silicon targets are met.
Selection and adoption of third party IPs for implementing the best possible solution for a specific customer workload or target market segment.
Support and encourages innovation while keeping execution on track
What we need to see:
Design leadership of complex 3/5/7nm IP with high perf ARM cores, DDR, Video/GPU, ML IP and SOC experience preferred
Experienced driving RTL design development concept through feature and schedule planning, front end design and verification closure, TO, Production and post-production support
Experienced in building teams and leading IP SOC RTL design with internal and external partners, internal and 3PIP
Responsible for results, technical collaboration and support with Customers on silicon development.
Drives innovation and efficiencies on ongoing basis in our IP/SOC methodology
Bachelor’s Degree or Master’s of Science in Electrical Engineering, Computer Science, Computer Engineering (or equivalent experience)
18+ years of overall industry experience
5+ years of managing a team.
With highly competitive salaries and a comprehensive benefits package, NVIDIA is widely considered to be one of the technology world's most desirable employers. We have some of the most forward-thinking and hardworking, a diverse set of people on the planet working for us and, due to unprecedented growth, our special engineering teams are growing fast. If you're a creative and autonomous engineer, we want to hear from you.
The base salary range is 284,000 USD - 431,250 USD. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
You will also be eligible for equity and benefits. NVIDIA accepts applications on an ongoing basis. 
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.","284,000 USD - 431,250 USD","US, CA, Santa Clara
US, MA, Westford
US, TX, Austin
US, TX, Remote
US, CA, Remote",
Nvidia,Director of SOC IP RTL,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Director-of-SOC-IP-RTL_JR1980653?locationHierarchy1=2fcb99c455831013ea52fb338f2932d8,7/3/2024,08/03/2024-20:19:51,"NVIDIA is hiring a Director of SOC IP RTL development for the next generation custom silicon solutions. We are looking for special individuals with passion and desire to deliver innovative products. Together, we will build the next generation of life changing SoC's. If you are a motivated individual that understands how SoC systems are architected and built, has intimate knowledge of SOC and IP design and understand various development cycles, this is your place to be. 
What you'll be doing:
Lead RTL design teams developing IP and SOC’s from concept through productization silicon in innovative technologies and range of products in cloud, networking, and other applications.
Develop microarchitecture specifications and RTL that bring together ARM CPUs, GPUs, custom accelerators, high speed interfaces, internal and external IP into a single chip or multiple chiplets.
Work with Architects, SOC Leads, and Customers to develop SOC IP design requirements, specifications, RTL development and verification plans, methodology alignment, and program execution to ensure pre-silicon and post silicon targets are met.
Selection and adoption of third party IPs for implementing the best possible solution for a specific customer workload or target market segment.
Support and encourages innovation while keeping execution on track
What we need to see:
Design leadership of complex 3/5/7nm IP with high perf ARM cores, DDR, Video/GPU, ML IP and SOC experience preferred
Experienced driving RTL design development concept through feature and schedule planning, front end design and verification closure, TO, Production and post-production support
Experienced in building teams and leading IP SOC RTL design with internal and external partners, internal and 3PIP
Responsible for results, technical collaboration and support with Customers on silicon development.
Drives innovation and efficiencies on ongoing basis in our IP/SOC methodology
Bachelor’s Degree or Master’s of Science in Electrical Engineering, Computer Science, Computer Engineering (or equivalent experience)
18+ years of overall industry experience
5+ years of managing a team.
With highly competitive salaries and a comprehensive benefits package, NVIDIA is widely considered to be one of the technology world's most desirable employers. We have some of the most forward-thinking and hardworking, a diverse set of people on the planet working for us and, due to unprecedented growth, our special engineering teams are growing fast. If you're a creative and autonomous engineer, we want to hear from you.
The base salary range is 284,000 USD - 431,250 USD. Your base salary will be determined based on your location, experience, and the pay of employees in similar positions.
You will also be eligible for equity and benefits. NVIDIA accepts applications on an ongoing basis. 
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.","284,000 USD - 431,250 USD","US, CA, Santa Clara
US, MA, Westford
US, TX, Austin
US, TX, Remote
US, CA, Remote",
